games,learning_rate,discount,average_moves
1000,0.08,0.14,95.11
1000,0.08,0.16,95.33
1000,0.08,0.18,95.24
1000,0.08,0.2,95.21
1000,0.08,0.22,95.09
1000,0.08,0.24,95.51
1000,0.08,0.26,95.58
1000,0.08,0.28,95.55
1000,0.08,0.3,95.45
1000,0.08,0.32,95.7
1000,0.08,0.34,95.44
1000,0.08,0.36,95.5
1000,0.08,0.38,95.44
1000,0.08,0.4,95.21
1000,0.08,0.42,95.66
1000,0.08,0.44,95.2
1000,0.08,0.46,95.37
1000,0.08,0.48,95.28
1000,0.08,0.5,95.25
1000,0.08,0.52,95.3
1000,0.08,0.54,95.36
1000,0.08,0.56,95.28
1000,0.08,0.58,95.58
1000,0.08,0.6,95.55
1000,0.08,0.62,95.08
1000,0.08,0.64,95.36
1000,0.08,0.66,95.2
1000,0.08,0.68,95.7
1000,0.08,0.7,95.4
1000,0.08,0.72,95.09
1000,0.08,0.74,95.54
1000,0.08,0.76,95.23
1000,0.08,0.78,95.42
1000,0.08,0.8,95.37
1000,0.08,0.82,95.49
1000,0.08,0.84,95.44
1000,0.08,0.86,95.02
1000,0.08,0.88,95.4
1000,0.08,0.9,95.32
1000,0.08,0.92,95.56
1000,0.08,0.94,95.27
1000,0.08,0.96,95.34
1000,0.08,0.98,95.22
1000,0.08,1.0,95.58
1000,0.08,1.02,95.39
1000,0.08,1.04,95.38
1000,0.08,1.06,95.46
1000,0.08,1.08,95.53
1000,0.1,0,65.13
1000,0.1,0.02,65.79
1000,0.1,0.04,65.36
1000,0.1,0.06,65.28
1000,0.1,0.08,66.21
1000,0.1,0.1,66.34
1000,0.1,0.12,65.56
1000,0.1,0.14,65.91
1000,0.1,0.16,65.79
1000,0.1,0.18,65.44
1000,0.1,0.2,66.0
1000,0.1,0.22,65.64
1000,0.1,0.24,65.41
1000,0.1,0.26,65.96
1000,0.1,0.28,65.75
1000,0.1,0.3,65.46
1000,0.1,0.32,65.59
1000,0.1,0.34,65.45
1000,0.1,0.36,64.95
1000,0.1,0.38,65.47
1000,0.1,0.4,66.09
1000,0.1,0.42,65.71
1000,0.1,0.44,65.19
1000,0.1,0.46,65.34
1000,0.1,0.48,65.76
1000,0.1,0.5,65.74
1000,0.1,0.52,65.14
1000,0.1,0.54,65.17
1000,0.1,0.56,66.3
1000,0.1,0.58,65.78
1000,0.1,0.6,65.77
1000,0.1,0.62,65.87
1000,0.1,0.64,65.07
1000,0.1,0.66,65.24
1000,0.1,0.68,66.31
1000,0.1,0.7,65.26
1000,0.1,0.72,65.08
1000,0.1,0.74,66.19
1000,0.1,0.76,65.37
1000,0.1,0.78,65.5
1000,0.1,0.8,65.3
1000,0.1,0.82,65.58
1000,0.1,0.84,64.72
1000,0.1,0.86,66.4
1000,0.1,0.88,65.79
1000,0.1,0.9,66.1
1000,0.1,0.92,65.86
1000,0.1,0.94,65.25
1000,0.1,0.96,64.87
1000,0.1,0.98,65.78
1000,0.1,1.0,65.98
1000,0.1,1.02,64.98
1000,0.1,1.04,65.31
1000,0.1,1.06,65.84
1000,0.1,1.08,65.79
1000,0.12,0,65.9
1000,0.12,0.02,65.54
1000,0.12,0.04,65.39
1000,0.12,0.06,65.24
1000,0.12,0.08,64.89
1000,0.12,0.1,65.18
1000,0.12,0.12,66.13
1000,0.12,0.14,65.57
1000,0.12,0.16,65.4
1000,0.12,0.18,65.62
1000,0.12,0.2,65.06
1000,0.12,0.22,65.3
1000,0.12,0.24,65.22
1000,0.12,0.26,65.69
1000,0.12,0.28,65.14
1000,0.12,0.3,65.36
1000,0.12,0.32,64.99
1000,0.12,0.34,66.25
1000,0.12,0.36,65.61
1000,0.12,0.38,64.92
1000,0.12,0.4,65.62
1000,0.12,0.42,65.81
1000,0.12,0.44,66.16
1000,0.12,0.46,66.17
1000,0.12,0.48,66.35
1000,0.12,0.5,65.85
1000,0.12,0.52,65.01
1000,0.12,0.54,65.38
1000,0.12,0.56,64.86
1000,0.12,0.58,66.4
1000,0.12,0.6,65.72
1000,0.12,0.62,66.11
1000,0.12,0.64,65.11
1000,0.12,0.66,65.71
1000,0.12,0.68,65.56
1000,0.12,0.7,65.33
1000,0.12,0.72,66.03
1000,0.12,0.74,65.15
1000,0.12,0.76,65.34
1000,0.12,0.78,64.96
1000,0.12,0.8,65.33
1000,0.12,0.82,65.38
1000,0.12,0.84,65.4
1000,0.12,0.86,65.46
1000,0.12,0.88,65.19
1000,0.12,0.9,65.58
1000,0.12,0.92,65.39
1000,0.12,0.94,65.78
1000,0.12,0.96,65.15
1000,0.12,0.98,65.22
1000,0.12,1.0,65.78
1000,0.12,1.02,65.24
1000,0.12,1.04,65.08
1000,0.12,1.06,65.26
1000,0.12,1.08,65.28
1000,0.14,0,65.59
1000,0.14,0.02,65.23
1000,0.14,0.04,65.46
1000,0.14,0.06,65.9
1000,0.14,0.08,65.35
1000,0.14,0.1,65.85
1000,0.14,0.12,65.48
1000,0.14,0.14,66.02
1000,0.14,0.16,65.83
1000,0.14,0.18,65.94
1000,0.14,0.2,65.39
1000,0.14,0.22,65.61
1000,0.14,0.24,65.66
1000,0.14,0.26,65.7
1000,0.14,0.28,65.23
1000,0.14,0.3,65.78
1000,0.14,0.32,65.46
1000,0.14,0.34,65.25
1000,0.14,0.36,64.82
1000,0.14,0.38,65.45
1000,0.14,0.4,65.29
1000,0.14,0.42,65.41
1000,0.14,0.44,65.22
1000,0.14,0.46,65.35
1000,0.14,0.48,65.72
1000,0.14,0.5,65.58
1000,0.14,0.52,65.28
1000,0.14,0.54,66.5
1000,0.14,0.56,65.64
1000,0.14,0.58,65.3
1000,0.14,0.6,65.69
1000,0.14,0.62,65.87
1000,0.14,0.64,65.26
1000,0.14,0.66,65.1
1000,0.14,0.68,65.3
1000,0.14,0.7,65.61
1000,0.14,0.72,66.04
1000,0.14,0.74,65.9
1000,0.14,0.76,65.66
1000,0.14,0.78,65.93
1000,0.14,0.8,66.04
1000,0.14,0.82,65.49
1000,0.14,0.84,65.96
1000,0.14,0.86,65.29
1000,0.14,0.88,65.59
1000,0.14,0.9,65.81
1000,0.14,0.92,65.85
1000,0.14,0.94,65.63
1000,0.14,0.96,65.0
1000,0.14,0.98,65.43
1000,0.14,1.0,65.31
1000,0.14,1.02,65.4
1000,0.14,1.04,65.87
1000,0.14,1.06,66.19
1000,0.14,1.08,66.02
1000,0.16,0,65.72
1000,0.16,0.02,65.65
1000,0.16,0.04,65.54
1000,0.16,0.06,66.7
1000,0.16,0.08,64.76
1000,0.16,0.1,65.65
1000,0.16,0.12,65.6
1000,0.16,0.14,64.81
1000,0.16,0.16,64.67
1000,0.16,0.18,66.29
1000,0.16,0.2,65.12
1000,0.16,0.22,65.2
1000,0.16,0.24,65.6
1000,0.16,0.26,65.76
1000,0.16,0.28,64.87
1000,0.16,0.3,65.83
1000,0.16,0.32,65.44
1000,0.16,0.34,66.08
1000,0.16,0.36,66.06
1000,0.16,0.38,66.08
1000,0.16,0.4,65.5
1000,0.16,0.42,65.48
1000,0.16,0.44,65.46
1000,0.16,0.46,65.52
1000,0.16,0.48,65.52
1000,0.16,0.5,65.96
1000,0.16,0.52,65.88
1000,0.16,0.54,65.65
1000,0.16,0.56,65.99
1000,0.16,0.58,65.3
1000,0.16,0.6,65.61
1000,0.16,0.62,65.77
1000,0.16,0.64,65.35
1000,0.16,0.66,65.74
1000,0.16,0.68,65.79
1000,0.16,0.7,65.52
1000,0.16,0.72,65.22
1000,0.16,0.74,65.97
1000,0.16,0.76,65.35
1000,0.16,0.78,65.28
1000,0.16,0.8,66.68
1000,0.16,0.82,65.31
1000,0.16,0.84,65.95
1000,0.16,0.86,65.52
1000,0.16,0.88,66.03
1000,0.16,0.9,65.63
1000,0.16,0.92,66.03
1000,0.16,0.94,65.59
1000,0.16,0.96,65.55
1000,0.16,0.98,65.47
1000,0.16,1.0,65.61
1000,0.16,1.02,65.83
1000,0.16,1.04,66.59
1000,0.16,1.06,65.84
1000,0.16,1.08,65.77
1000,0.18,0,65.14
1000,0.18,0.02,65.12
1000,0.18,0.04,65.64
1000,0.18,0.06,66.11
1000,0.18,0.08,64.71
1000,0.18,0.1,64.76
1000,0.18,0.12,65.45
1000,0.18,0.14,65.36
1000,0.18,0.16,65.35
1000,0.18,0.18,65.64
1000,0.18,0.2,64.87
1000,0.18,0.22,66.25
1000,0.18,0.24,65.55
1000,0.18,0.26,65.93
1000,0.18,0.28,65.87
1000,0.18,0.3,65.44
1000,0.18,0.32,65.84
1000,0.18,0.34,66.2
1000,0.18,0.36,65.16
1000,0.18,0.38,66.02
1000,0.18,0.4,65.5
1000,0.18,0.42,65.69
1000,0.18,0.44,65.48
1000,0.18,0.46,65.5
1000,0.18,0.48,66.0
1000,0.18,0.5,65.77
1000,0.18,0.52,66.31
1000,0.18,0.54,65.4
1000,0.18,0.56,65.06
1000,0.18,0.58,64.86
1000,0.18,0.6,65.12
1000,0.18,0.62,65.62
1000,0.18,0.64,65.61
1000,0.18,0.66,65.86
1000,0.18,0.68,66.35
1000,0.18,0.7,65.36
1000,0.18,0.72,65.08
1000,0.18,0.74,65.45
1000,0.18,0.76,65.43
1000,0.18,0.78,65.15
1000,0.18,0.8,65.28
1000,0.18,0.82,65.54
1000,0.18,0.84,66.11
1000,0.18,0.86,65.5
1000,0.18,0.88,65.37
1000,0.18,0.9,65.57
1000,0.18,0.92,65.63
1000,0.18,0.94,65.39
1000,0.18,0.96,65.83
1000,0.18,0.98,65.9
1000,0.18,1.0,65.8
1000,0.18,1.02,65.21
1000,0.18,1.04,65.67
1000,0.18,1.06,65.13
1000,0.18,1.08,64.89
1000,0.2,0,65.49
1000,0.2,0.02,65.72
1000,0.2,0.04,65.02
1000,0.2,0.06,65.88
1000,0.2,0.08,64.65
1000,0.2,0.1,65.22
1000,0.2,0.12,65.96
1000,0.2,0.14,66.03
1000,0.2,0.16,66.05
1000,0.2,0.18,66.17
1000,0.2,0.2,65.79
1000,0.2,0.22,65.63
1000,0.2,0.24,66.0
1000,0.2,0.26,65.39
1000,0.2,0.28,65.45
1000,0.2,0.3,65.41
1000,0.2,0.32,65.81
1000,0.2,0.34,65.61
1000,0.2,0.36,65.54
1000,0.2,0.38,66.87
1000,0.2,0.4,65.57
1000,0.2,0.42,65.55
1000,0.2,0.44,65.9
1000,0.2,0.46,66.06
1000,0.2,0.48,65.35
1000,0.2,0.5,65.13
1000,0.2,0.52,65.22
1000,0.2,0.54,65.88
1000,0.2,0.56,65.3
1000,0.2,0.58,66.48
1000,0.2,0.6,65.63
1000,0.2,0.62,66.35
1000,0.2,0.64,65.21
1000,0.2,0.66,65.33
1000,0.2,0.68,65.54
1000,0.2,0.7,65.44
1000,0.2,0.72,65.55
1000,0.2,0.74,65.45
1000,0.2,0.76,65.02
1000,0.2,0.78,65.08
1000,0.2,0.8,64.55
1000,0.2,0.82,65.26
1000,0.2,0.84,65.96
1000,0.2,0.86,65.56
1000,0.2,0.88,65.98
1000,0.2,0.9,64.83
1000,0.2,0.92,66.25
1000,0.2,0.94,66.19
1000,0.2,0.96,65.25
1000,0.2,0.98,66.11
1000,0.2,1.0,66.06
1000,0.2,1.02,65.98
1000,0.2,1.04,64.84
1000,0.2,1.06,66.03
1000,0.2,1.08,66.12
1000,0.22,0,65.52
1000,0.22,0.02,65.75
1000,0.22,0.04,65.47
1000,0.22,0.06,64.55
1000,0.22,0.08,65.48
1000,0.22,0.1,65.65
1000,0.22,0.12,64.47
1000,0.22,0.14,65.45
1000,0.22,0.16,64.99
1000,0.22,0.18,64.81
1000,0.22,0.2,64.97
1000,0.22,0.22,66.17
1000,0.22,0.24,65.71
1000,0.22,0.26,65.26
1000,0.22,0.28,65.24
1000,0.22,0.3,65.49
1000,0.22,0.32,64.96
1000,0.22,0.34,65.34
1000,0.22,0.36,65.36
1000,0.22,0.38,64.67
1000,0.22,0.4,65.73
1000,0.22,0.42,65.69
1000,0.22,0.44,65.46
1000,0.22,0.46,65.24
1000,0.22,0.48,65.03
1000,0.22,0.5,65.25
1000,0.22,0.52,65.38
1000,0.22,0.54,65.03
1000,0.22,0.56,66.19
1000,0.22,0.58,65.56
1000,0.22,0.6,66.13
1000,0.22,0.62,65.01
1000,0.22,0.64,65.13
1000,0.22,0.66,65.37
1000,0.22,0.68,65.1
1000,0.22,0.7,65.8
1000,0.22,0.72,66.03
1000,0.22,0.74,64.71
1000,0.22,0.76,65.17
1000,0.22,0.78,65.17
1000,0.22,0.8,65.95
1000,0.22,0.82,66.04
1000,0.22,0.84,65.93
1000,0.22,0.86,65.6
1000,0.22,0.88,65.62
1000,0.22,0.9,65.52
1000,0.22,0.92,66.2
1000,0.22,0.94,65.25
1000,0.22,0.96,66.05
1000,0.22,0.98,65.33
1000,0.22,1.0,65.54
1000,0.22,1.02,65.64
1000,0.22,1.04,64.94
1000,0.22,1.06,65.4
1000,0.22,1.08,65.85
1000,0.24,0,65.47
1000,0.24,0.02,65.75
1000,0.24,0.04,64.84
1000,0.24,0.06,66.77
1000,0.24,0.08,65.59
1000,0.24,0.1,65.33
1000,0.24,0.12,65.94
1000,0.24,0.14,65.43
1000,0.24,0.16,65.3
1000,0.24,0.18,65.83
1000,0.24,0.2,65.66
1000,0.24,0.22,65.5
1000,0.24,0.24,65.32
1000,0.24,0.26,65.7
1000,0.24,0.28,65.59
1000,0.24,0.3,64.96
1000,0.24,0.32,65.77
1000,0.24,0.34,65.31
1000,0.24,0.36,65.64
1000,0.24,0.38,66.05
1000,0.24,0.4,65.53
1000,0.24,0.42,64.99
1000,0.24,0.44,65.16
1000,0.24,0.46,65.79
1000,0.24,0.48,65.78
1000,0.24,0.5,64.78
1000,0.24,0.52,65.8
1000,0.24,0.54,65.05
1000,0.24,0.56,64.78
1000,0.24,0.58,65.72
1000,0.24,0.6,65.74
1000,0.24,0.62,65.65
1000,0.24,0.64,65.47
1000,0.24,0.66,65.21
1000,0.24,0.68,65.59
1000,0.24,0.7,65.85
1000,0.24,0.72,65.77
1000,0.24,0.74,65.9
1000,0.24,0.76,65.88
1000,0.24,0.78,65.17
1000,0.24,0.8,66.22
1000,0.24,0.82,65.89
1000,0.24,0.84,65.68
1000,0.24,0.86,66.09
1000,0.24,0.88,65.04
1000,0.24,0.9,65.37
1000,0.24,0.92,65.5
1000,0.24,0.94,65.69
1000,0.24,0.96,65.92
1000,0.24,0.98,65.44
1000,0.24,1.0,65.46
1000,0.24,1.02,65.58
1000,0.24,1.04,65.24
1000,0.24,1.06,64.83
1000,0.24,1.08,64.89
1000,0.26,0,66.11
1000,0.26,0.02,65.53
1000,0.26,0.04,65.6
1000,0.26,0.06,66.1
1000,0.26,0.08,65.83
1000,0.26,0.1,66.78
1000,0.26,0.12,65.81
1000,0.26,0.14,66.04
1000,0.26,0.16,65.05
1000,0.26,0.18,65.78
1000,0.26,0.2,66.05
1000,0.26,0.22,65.26
1000,0.26,0.24,65.37
1000,0.26,0.26,64.38
1000,0.26,0.28,66.3
1000,0.26,0.3,65.56
1000,0.26,0.32,65.03
1000,0.26,0.34,65.36
1000,0.26,0.36,65.61
1000,0.26,0.38,65.56
1000,0.26,0.4,65.21
1000,0.26,0.42,65.61
1000,0.26,0.44,65.13
1000,0.26,0.46,65.36
1000,0.26,0.48,65.83
1000,0.26,0.5,65.65
1000,0.26,0.52,65.0
1000,0.26,0.54,65.11
1000,0.26,0.56,65.47
1000,0.26,0.58,65.89
1000,0.26,0.6,65.99
1000,0.26,0.62,64.98
1000,0.26,0.64,65.61
1000,0.26,0.66,66.14
1000,0.26,0.68,65.2
1000,0.26,0.7,66.07
1000,0.26,0.72,64.73
1000,0.26,0.74,65.87
1000,0.26,0.76,64.86
1000,0.26,0.78,65.37
1000,0.26,0.8,66.18
1000,0.26,0.82,65.11
1000,0.26,0.84,65.47
1000,0.26,0.86,66.43
1000,0.26,0.88,65.4
1000,0.26,0.9,65.28
1000,0.26,0.92,65.72
1000,0.26,0.94,66.02
1000,0.26,0.96,65.34
1000,0.26,0.98,65.2
1000,0.26,1.0,65.03
1000,0.26,1.02,64.92
1000,0.26,1.04,65.11
1000,0.26,1.06,65.67
1000,0.26,1.08,65.9
1000,0.28,0,65.61
1000,0.28,0.02,65.67
1000,0.28,0.04,65.4
1000,0.28,0.06,65.72
1000,0.28,0.08,65.72
1000,0.28,0.1,66.02
1000,0.28,0.12,64.82
1000,0.28,0.14,66.24
1000,0.28,0.16,64.73
1000,0.28,0.18,66.22
1000,0.28,0.2,65.81
1000,0.28,0.22,65.0
1000,0.28,0.24,65.06
1000,0.28,0.26,64.96
1000,0.28,0.28,65.86
1000,0.28,0.3,65.54
1000,0.28,0.32,66.21
1000,0.28,0.34,65.1
1000,0.28,0.36,66.06
1000,0.28,0.38,65.66
1000,0.28,0.4,66.53
1000,0.28,0.42,65.42
1000,0.28,0.44,64.86
1000,0.28,0.46,65.46
1000,0.28,0.48,66.58
1000,0.28,0.5,65.88
1000,0.28,0.52,66.27
1000,0.28,0.54,65.98
1000,0.28,0.56,66.08
1000,0.28,0.58,66.13
1000,0.28,0.6,66.21
1000,0.28,0.62,65.48
1000,0.28,0.64,65.6
1000,0.28,0.66,65.96
1000,0.28,0.68,66.05
1000,0.28,0.7,65.61
1000,0.28,0.72,66.37
1000,0.28,0.74,65.54
1000,0.28,0.76,65.5
1000,0.28,0.78,65.86
1000,0.28,0.8,65.34
1000,0.28,0.82,64.95
1000,0.28,0.84,65.75
1000,0.28,0.86,65.43
1000,0.28,0.88,66.09
1000,0.28,0.9,66.29
1000,0.28,0.92,65.82
1000,0.28,0.94,65.53
1000,0.28,0.96,65.6
1000,0.28,0.98,65.8
1000,0.28,1.0,65.62
1000,0.28,1.02,65.3
1000,0.28,1.04,65.67
1000,0.28,1.06,65.28
1000,0.28,1.08,66.31
1000,0.3,0,65.57
1000,0.3,0.02,65.94
1000,0.3,0.04,65.81
1000,0.3,0.06,65.71
1000,0.3,0.08,65.41
1000,0.3,0.1,65.77
1000,0.3,0.12,65.35
1000,0.3,0.14,65.21
1000,0.3,0.16,65.4
1000,0.3,0.18,65.7
1000,0.3,0.2,65.46
1000,0.3,0.22,65.67
1000,0.3,0.24,65.85
1000,0.3,0.26,65.44
1000,0.3,0.28,65.28
1000,0.3,0.3,65.31
1000,0.3,0.32,65.05
1000,0.3,0.34,65.31
1000,0.3,0.36,65.14
1000,0.3,0.38,66.42
1000,0.3,0.4,65.91
1000,0.3,0.42,65.66
1000,0.3,0.44,64.8
1000,0.3,0.46,66.67
1000,0.3,0.48,65.78
1000,0.3,0.5,65.68
1000,0.3,0.52,65.61
1000,0.3,0.54,65.31
1000,0.3,0.56,65.81
1000,0.3,0.58,64.96
1000,0.3,0.6,65.74
1000,0.3,0.62,65.06
1000,0.3,0.64,65.55
1000,0.3,0.66,64.77
1000,0.3,0.68,65.32
1000,0.3,0.7,64.87
1000,0.3,0.72,65.49
1000,0.3,0.74,65.61
1000,0.3,0.76,65.33
1000,0.3,0.78,65.53
1000,0.3,0.8,65.32
1000,0.3,0.82,66.12
1000,0.3,0.84,65.67
1000,0.3,0.86,65.7
1000,0.3,0.88,65.57
1000,0.3,0.9,65.25
1000,0.3,0.92,65.16
1000,0.3,0.94,64.8
1000,0.3,0.96,65.5
1000,0.3,0.98,65.19
1000,0.3,1.0,65.92
1000,0.3,1.02,65.6
1000,0.3,1.04,66.03
1000,0.3,1.06,65.47
1000,0.3,1.08,65.11
1000,0.32,0,65.1
1000,0.32,0.02,65.69
1000,0.32,0.04,65.6
1000,0.32,0.06,65.15
1000,0.32,0.08,65.49
1000,0.32,0.1,66.02
1000,0.32,0.12,65.41
1000,0.32,0.14,66.04
1000,0.32,0.16,65.91
1000,0.32,0.18,66.01
1000,0.32,0.2,65.54
1000,0.32,0.22,65.57
1000,0.32,0.24,66.47
1000,0.32,0.26,65.36
1000,0.32,0.28,66.05
1000,0.32,0.3,64.6
1000,0.32,0.32,65.93
1000,0.32,0.34,65.05
1000,0.32,0.36,66.3
1000,0.32,0.38,64.9
1000,0.32,0.4,65.66
1000,0.32,0.42,64.92
1000,0.32,0.44,65.52
1000,0.32,0.46,65.72
1000,0.32,0.48,64.9
1000,0.32,0.5,65.28
1000,0.32,0.52,65.9
1000,0.32,0.54,65.92
1000,0.32,0.56,64.79
1000,0.32,0.58,65.61
1000,0.32,0.6,65.77
1000,0.32,0.62,65.79
1000,0.32,0.64,64.82
1000,0.32,0.66,65.98
1000,0.32,0.68,64.77
1000,0.32,0.7,65.36
1000,0.32,0.72,65.82
1000,0.32,0.74,65.93
1000,0.32,0.76,66.04
1000,0.32,0.78,64.78
1000,0.32,0.8,66.41
1000,0.32,0.82,65.5
1000,0.32,0.84,65.08
1000,0.32,0.86,65.49
1000,0.32,0.88,65.47
1000,0.32,0.9,65.34
1000,0.32,0.92,65.07
1000,0.32,0.94,66.17
1000,0.32,0.96,65.89
1000,0.32,0.98,65.77
1000,0.32,1.0,65.84
1000,0.32,1.02,65.88
1000,0.32,1.04,65.93
1000,0.32,1.06,65.29
1000,0.32,1.08,65.48
1000,0.34,0,65.17
1000,0.34,0.02,65.5
1000,0.34,0.04,66.31
1000,0.34,0.06,65.58
